Topic from A to Z List,AKA,Owner,Scope,Notes,,PRs available,CDC Website,Spanish Website Y/N
122 CITIES MORTALITY REPORTING SYSTEM,,,ESCALATE,escalate to Rdhara@cdc.gov,,NO,,
ABORTION,,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/reproductivehealth/Data_Stats/Abortion.htm,N
ABORTION STATISITICS,,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/reproductivehealth/Data_Stats/Abortion.htm,N
ABRIN,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,https://social.teletech.com/docs/DOC-215712,YES,http://emergency.cdc.gov/agent/abrin/basics/facts.asp,Y
ACANTHAMOEBA INFECTION,,"1-800-41-TRAIN
 or 404-639-1292
 E-mail: ce@cdc.gov
 During business hours 8am - 4pm,(after hours caller should leave a message and will be contacted next business day)",IN,,,YES,http://www.cdc.gov/parasites/acanthamoeba/,N
ACINETOBACTER INFECTION,,NCEZID / DHQP,IN,,,,http://www.cdc.gov/HAI/organisms/acinetobacter.html,N
ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS),,NCHHSTP / DHAP,IN,,https://social.teletech.com/docs/DOC-191517,YES,http://www.cdc.gov/hiv/,Y
ACRYLAMIDE,Lab measurements,NCEH / DLS,ESCALATE,,,YES,http://www.cdc.gov/niosh/topics/acrylamide/,N
ACTINOMYCETES,Actinomycotic disease,NCEZID/ DHCPP / BSPB,ESCALATE,,https://social.teletech.com/docs/DOC-195408,NO,http://www.cdc.gov/ncezid/dhcpp/bacterial_special/special_lab.html,N
ACTIVE BACTERIAL CORE SURVEILLANCE (ABCS),,NCIRD / DBD,ESCALATE,Please email escalations to :NCIRD/DBD/Meningitis & Vacc. Prev. Diseases: mvpdb@cdc.gov and NCIRD/DBD/respiratory diseases branch: rdb@cdc.gov,https://social.teletech.com/docs/DOC-194208,YES,http://www.cdc.gov/abcs/index.html,N
ACTIVE COMMUNITY ENVIRONMENTS INITIATIVE,ACES,NCCDPHP / DNPAO,IN,,https://social.teletech.com/docs/DOC-194114,YES,http://www.cdc.gov/physicalactivity/strategies/community.html,N
ACUTE INJURY CARE,,NCIPC / DUIP,IN,,,NO,http://www.cdc.gov/injuryresponse/acute_injury.html,N
ADENOVIRUS INFECTION,Respiratory Illnesses and Viruses,NCIRD / DVD,IN,,https://social.teletech.com/docs/DOC-194208,YES,http://www.cdc.gov/adenovirus/,N
ADHD,Attention Deficit Hyperactivity Disorder,NCBDDD,IN,,https://social.teletech.com/docs/DOC-192981,YES,http://www.cdc.gov/ncbddd/adhd/,Y
ADOLESCENT HEALTH,,NCCDPHP / DASH,IN,"Please note the Spanish VISs are hosted on a non-government website. You ARE allowed to read from the VISs, but do NOT read any other information from the site",,YES,http://www.cdc.gov/healthyyouth/adolescenthealth/,N
ADOLESCENT PREGNANCY,Teen pregnancy,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/TeenPregnancy/,N
"ADOPTION, INTERNATIONAL","International adoption, Medical screening issues",NCEZID / DGMQ,IN,,,NO,http://www.cdc.gov/immigrantrefugeehealth/adoption/,N
ADULT BLOOD LEAD EPIDEMIOLOGY AND SURVEILLANCE,ABLES,NIOSH,IN,,https://social.teletech.com/docs/DOC-195456,YES,http://www.cdc.gov/niosh/topics/ABLES/ables.html,N
ADVERSE CHILDHOOD EXPERIENCES (ACE),,NCIPC / DVP,IN,,,YES,http://www.cdc.gov/ace/,N
ADVISORY COMMITTEE ON IMMUNZATION PRACTICES,ACIP,NCIRD / ISD,IN,,https://social.teletech.com/docs/DOC-191513,YES,http://www.cdc.gov/vaccines/acip/index.html,N
AEROSOLS,,NIOSH,IN,,https://social.teletech.com/docs/DOC-195456,YES,http://www.cdc.gov/niosh/topics/aerosols/,N
AFGHANISTAN PROJECT,,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/safewater/where_pages/where_Afghanistan.htm,N
AFIX IMMUNIZATION STRATEGY,,NCIRD / ISD,IN,,https://social.teletech.com/docs/DOC-191513,NO,http://www.cdc.gov/vaccines/programs/afix/index.html,N
AFRICAN FIELD EPIDEMIOLOGY NETWORK,AFENET,COGH / DGPHCD,REFER,DGPHCDinfo@cdc.gov,,NO,,N
AFRICAN SLEEPING SICKNESS,"East African Trypanosomiasis, West African Trypanosomiasis, Sleeping Sickness",CGH/DPDM/PDB,IN,,https://social.teletech.com/docs/DOC-195307,YES,http://www.cdc.gov/parasites/sleepingsickness/gen_info/faqs-east.html,N
AGENCY ADVISORY COMMITTEE (AAC),,OD / OMHD,REFER,OMHD@cdc.gov,,NO,,N
AGENT ORANGE LABORATORY TESTING/RESULTS,"Agent Orange lab test assistance, lab testing results",NCEH / DLS,IN,ONLY escalate questions that relate to lab test results or the type of testing CDC may be able to assist with.,,YES,,
AGENT ORANGE STUDY RECORDS,,OCOO/OCIO,OUT,,,NO,http://www.cdc.gov/nceh/veterans/default1b.htm,N
AGING,Older Adults,NCCDPHP / DPH - SHB,IN,,,YES,http://www.cdc.gov/aging/,N
AGING and HEALTH BEHAVIORS,,NCCDPHP / DPH,IN,,,NO,,
AGING and PUBLIC HEALTH,,NCCDPHP / DPH,IN,,,NO,,
AGRICULTURAL SAFETY (INJURY),,NIOSH,IN,,https://social.teletech.com/docs/DOC-195456,NO,http://www.cdc.gov/niosh/topics/aginjury/,N
AGRICULTURAL SAFETY AND HEALTH,,NIOSH,IN,,https://social.teletech.com/docs/DOC-195456,NO,http://www.cdc.gov/niosh/topics/aginjury/,N
AIDS,,NCHHSTP / DHAP,IN,,https://social.teletech.com/docs/DOC-191517,YES,http://www.cdc.gov/hiv/,Y
AIP,Arctic investigations,NCEZID / DPEI,REFER,(907) 729-3400 or (800) 699-0767,,NO,http://www.cdc.gov/ncezid/dpei/aip/about.html,N
AIR POLLUTION & RESPIRATORY HEALTH,,NCEH / EHHE,IN,,,YES,http://www.cdc.gov/nceh/airpollution/,N
AIR QUALITY,"Indoor Air Quality, IAQ",NCEH / EHHE,IN,Workplace-related is NIOSH,,YES,http://www.cdc.gov/niosh/topics/indoorenv/,N
ALBUTEROL- FREE INHALERS,,,REFER,please refer all albuterol -free inhalers inquiries to the FDA at (1-888-INFO-FDA),,NO,,
ALCOHOL - EXCESSIVE USE,Binge Drinking,NCCDPHP / DPH,IN,,,YES,http://m.cdc.gov/en/VitalSigns/binge-drinking,N
ALCOHOL SCREENING AND BRIEF INTERVENTION,,NCIPC / DUIP,IN,,,YES,http://www.cdc.gov/injuryresponse/alcohol-screening/,N
ALCOHOL-RELATED DISEASE IMPACT (ARDI),,NCCDPHP / DPH,ESCALATE,,,NO,http://www.cdc.gov/alcohol/ardi.htm,N
